section,primary_keyword,secondary_keywords,intent,existing_url,target_url,current_page_type,required_content_improvements,internal_linking_opportunities,cannibalization_risk,local_intent,priority,decision,status
A MONEY / LEAD,Graphic Designing Course in Jaipur,graphic design course Jaipur; graphic design training Jaipur; Photoshop Illustrator course Jaipur,Transactional / local commercial,/graphic-design-course-jaipur.php,/graphic-design-course-jaipur.php,Canonical money page,"Keep practical design fundamentals, Adobe tools, branding and portfolio intent distinct from UI/UX",Graphic design guide; /courses.php; UI/UX; Digital Marketing,Medium - career guide must stay informational,Jaipur,P2,Differentiate from UI/UX and career guide,Created 2026-09-22
A MONEY / LEAD,UI UX Course in Jaipur,UI UX design course Jaipur; UX design training Jaipur; Figma course Jaipur,Transactional / local commercial,/ui-ux-design-course-jaipur.php,/ui-ux-design-course-jaipur.php,Canonical money page,"Own user research, wireframing, Figma, prototyping, responsive UI, design systems and usability testing; keep Graphic Design separate",UI/UX career guide; /courses.php; Graphic Design; web design guide,Medium - overlap with web and graphic design,Jaipur,P2,Differentiate product-design intent from visual design and frontend,Created 2026-09-22
B CATEGORY / HUB,Coding Courses in Jaipur,coding classes Jaipur; coding training Jaipur; software development courses Jaipur,Commercial investigation,/courses.php,/courses.php,All-courses catalogue,Add stronger category intro and anchored sections before considering another coding hub,Python; Java; Full Stack; MERN; programming guides,Medium - Programming Courses,Jaipur,P1,Use catalogue as preferred URL for now,Existing - improve later
B CATEGORY / HUB,Data Courses in Jaipur,data science courses Jaipur; data analytics courses Jaipur; BI courses Jaipur,Commercial investigation,/courses.php,/courses.php#data-ai,Catalogue section,Improve grouping first; create a standalone hub only when child inventory and unique content justify it,Data Science; Data Analytics; Power BI; GenAI,Medium,Jaipur,P2,No standalone page yet,Planned section
B CATEGORY / HUB,AI Courses in Jaipur,artificial intelligence courses Jaipur; machine learning courses Jaipur; generative AI courses Jaipur,Commercial investigation,/courses.php,/courses.php#data-ai,Catalogue section,Separate predictive ML and Generative AI choices; avoid a thin AI doorway hub,Data Science/ML; GenAI; Python,High,Jaipur,P2,No standalone page until enough distinct AI programs exist,Planned section
B CATEGORY / HUB,Programming Courses in Jaipur,programming language courses Jaipur; C C++ Java Python courses Jaipur,Commercial investigation,/groot-old-wordpress-website/grootacademy.com/best-programming-courses-in-jaipur.php,/programming-courses-jaipur.php,Legacy source not yet canonicalized,Migrate only after source review; make it a genuine language-comparison/navigation hub rather than a duplicate of /courses.php,Python; Java; C/C++; DSA; /courses.php,High - overlaps Coding Courses and /courses.php,Jaipur,P2,Differentiate after source review,Planned - gated
B CATEGORY / HUB,Design Courses in Jaipur,graphic design courses Jaipur; UI UX courses Jaipur; web design courses Jaipur,Commercial investigation,,/design-courses-jaipur.php,No canonical hub,Do not create until at least two or three verified design money pages exist,Graphic Design; UI UX; web design guide,Low now,Jaipur,P3,Hold,Do not create yet
B CATEGORY / HUB,Digital Marketing Courses in Jaipur,SEO PPC social media marketing courses Jaipur,Commercial investigation,/digital-marketing-course-jaipur.php,/digital-marketing-course-jaipur.php,Broad money page,Use broad money page as preferred URL until multiple independently delivered specialist programs exist,Digital marketing guide; SEO and content tutorials,High if duplicate hub is created,Jaipur,P2,Do not create duplicate hub,Existing preferred URL
B CATEGORY / HUB,Career Programs in Jaipur,job oriented IT courses Jaipur; career oriented computer courses Jaipur; internship training Jaipur,Commercial investigation,/courses.php,/courses.php,All-courses catalogue,Add career-program framing plus links to internship and placement methodology once trust pages are migrated,Internship process; placement assistance; courses; career guides,Medium,Jaipur,P2,Use catalogue now,Existing - improve later
C LOCAL,IT Training Institute in Jaipur,computer training institute Jaipur; coding institute Jaipur; software training Jaipur,Local commercial / brand discovery,/,/,Homepage,Keep homepage as city-level entity page; link to top courses and verified branches; do not create a duplicate /jaipur/ doorway,Courses; locations; top money pages; trust pages,High if Jaipur landing page is duplicated,Jaipur,P1,Homepage owns Jaipur institute intent,Homepage improved 2026-09-22
C LOCAL,IT Training Institute in Mansarovar Jaipur,coding classes Mansarovar; computer courses Mansarovar; Groot Academy Mansarovar,Local branch,/groot-old-wordpress-website/grootacademy.com/our-branches/mansarovar-jaipur/best-it-training-insititue-in-mansarovar-jaipur-groot-academy-branch.php,/mansarovar-it-training-institute-jaipur.php,Verified legacy branch source,Migrate verified branch facts only; unique address/access context; link to shared canonical course pages rather than duplicating course copy,Homepage; locations; top money pages; Contact,Medium - duplicate Mansarovar legacy files,"Mansarovar, Jaipur",P2,Merge branch duplicates into one future canonical,Planned - source exists
C LOCAL,IT Training Institute in Pratap Nagar Jaipur,coding classes Pratap Nagar; computer courses Kumbha Marg; IT training Sitapura Jaipur,Local branch,/groot-old-wordpress-website/grootacademy.com/our-branches/kumbha-marg-pratap-nagar-jaipur/best-it-training-insititue-in-pratap-nagar-sitapura-jaipur-groot-academy-branch.php,/pratap-nagar-it-training-institute-jaipur.php,Verified legacy branch source,Migrate unique branch facts and route legacy duplicates; avoid copied course sections,Homepage; locations; top money pages; Contact,Medium - duplicate legacy branch copies,"Pratap Nagar / Kumbha Marg, Jaipur",P2,Merge branch duplicates into one future canonical,Planned - source exists
C LOCAL,IT Training Institute in Jagatpura Jaipur,coding classes Jagatpura; IT training near SKIT; computer courses Jagatpura Jaipur,Local branch,/groot-old-wordpress-website/grootacademy.com/our-branches/skit-jagatpura-jaipur/best-it-training-insititue-in-jagatpura-jaipur-near-skit-collage-groot-academy-branch.php,/jagatpura-it-training-institute-jaipur.php,Verified legacy branch source,Migrate unique branch facts and nearby context; avoid city-name doorway duplication,Homepage; locations; top money pages; Contact,Medium - duplicate Jagatpura legacy pages,"Jagatpura, Jaipur",P2,Merge branch duplicates into one future canonical,Planned - source exists
C LOCAL,IT Training Institute in Gopalpura Jaipur,computer courses Gopalpura; coding classes Ridhi Sidhi Jaipur,Local branch,,/gopalpura-it-training-institute-jaipur.php,No repository source located,"Verify active branch, address, contact details and unique local evidence before page creation",Locations; Contact; top courses,Low,"Gopalpura, Jaipur",P3,Hold until location verification,Do not create yet
D INFORMATIONAL,Data Science Career Guide Jaipur,data science career Jaipur; data scientist roadmap Jaipur,Informational,/blogs/data-science-machine-learning-career-guide-jaipur/,/blogs/data-science-machine-learning-career-guide-jaipur/,Career guide,Keep informational; add contextual CTA to Data Science money page and Python prerequisites,Data Science; Python; Data Analytics,Low if headings avoid course-enrolment intent,Jaipur career context,P2,Differentiate from money page,Existing
D INFORMATIONAL,Data Analytics Career Guide Jaipur,data analyst roadmap Jaipur; data analytics career Jaipur,Informational,/blogs/data-analytics-power-bi-career-guide-jaipur/,/blogs/data-analytics-power-bi-career-guide-jaipur/,Career guide,Add role and skills roadmap with links to Data Analytics and Power BI pages,Data Analytics; Power BI; Python,Low,Jaipur career context,P2,Differentiate,Existing
D INFORMATIONAL,Full Stack Developer Career Guide Jaipur,full stack developer roadmap Jaipur; web developer career Jaipur,Informational,/blogs/full-stack-web-development-career-guide-jaipur/,/blogs/full-stack-web-development-career-guide-jaipur/,Career guide,Add roadmap and comparison links to Full Stack and MERN,Full Stack; MERN; Python; Java,Low,Jaipur career context,P2,Differentiate,Existing
D INFORMATIONAL,MERN Stack Career Guide Jaipur,MERN developer roadmap Jaipur; React Node career Jaipur,Informational,/blogs/mern-stack-react-development-career-guide-jaipur/,/blogs/mern-stack-react-development-career-guide-jaipur/,Career guide,Keep roadmap orientation and link to MERN plus Full Stack comparison,MERN; Full Stack,Low,Jaipur career context,P2,Differentiate,Existing
D INFORMATIONAL,Python Programming Career Guide Jaipur,Python roadmap Jaipur; Python career options Jaipur,Informational,/blogs/python-programming-career-guide-jaipur/,/blogs/python-programming-career-guide-jaipur/,Career guide,"Add beginner roadmap and pathways to web, data and automation; keep course CTA secondary",Python; Data Science; Data Analytics,Low,Jaipur career context,P2,Differentiate,Existing
D INFORMATIONAL,Generative AI Career Guide Jaipur,GenAI roadmap Jaipur; prompt engineering career Jaipur; LLM skills Jaipur,Informational,/blogs/generative-ai-tools-career-guide-jaipur/,/blogs/generative-ai-tools-career-guide-jaipur/,Career guide,Explain GenAI roles and tools versus ML; link to GenAI course and Python,Generative AI; Data Science; Python,Medium - broad AI,Jaipur career context,P2,Differentiate,Existing
D INFORMATIONAL,Programming and Coding Career Guide Jaipur,software development career Jaipur; coding roadmap Jaipur,Informational,/blogs/software-development-coding-career-guide-jaipur/,/blogs/software-development-coding-career-guide-jaipur/,Career guide,"Use as broad decision guide and distribute authority to Python, Java, Full Stack and MERN",Python; Java; Full Stack; MERN; /courses.php,Medium - broad coding hub,Jaipur career context,P2,Differentiate informational from commercial catalogue,Existing
D INFORMATIONAL,IT Career Course Guidance Jaipur,best IT career path Jaipur; which computer course Jaipur; job oriented IT courses Jaipur guide,Informational / comparison,/blogs/it-career-course-guidance-jaipur/,/blogs/it-career-course-guidance-jaipur/,Career guidance guide,Use a neutral decision framework and link to category and course pages,/courses.php; Python; Java; Data; Full Stack; trust pages,Medium - Career Programs,Jaipur,P2,Differentiate,Existing
E BRAND / TRUST,About Groot Academy,Groot Academy Jaipur; Groot Academy training institute,Brand / trust,/about.html,/about.html,About page,"Replace template residue with factual brand history, training model and verifiable locations",Homepage; courses; locations; mentors; contact,Low,Jaipur brand,P2,Improve existing,Metadata improved 2026-09-22; content audit pending
E BRAND / TRUST,Groot Academy Mentors,Groot Academy trainers; IT trainers Jaipur,Brand / trust,/team.html,/team.html,Team template,Use only verifiable mentor profiles and skills; remove demo content; connect mentors to course families,About; course pages; training methodology,Low,Jaipur brand,P2,Improve existing before adding profiles,Existing template - audit needed
E BRAND / TRUST,Groot Academy Projects,student projects Groot Academy; coding projects Jaipur training,Trust / proof,/gallery-style1.html,/projects.php,Generic gallery/template,"Create only from real project examples with technology, scope and learning context",Money pages; student outcomes; mentors,Low,Jaipur brand,P3,Future trust page after evidence collection,Gated
E BRAND / TRUST,Groot Academy Student Outcomes,Groot Academy student work; training outcomes Jaipur,Trust / proof,,/student-outcomes.php,No canonical trust page,"Create only from verifiable outcomes, certificates or portfolio evidence; avoid unsupported placement claims",Projects; internship; placement assistance; course pages,Low,Jaipur brand,P3,Hold until evidence is verified,Do not create yet
E BRAND / TRUST,Groot Academy Internship Process,internship training Jaipur; Groot Academy internship,Trust / program information,/groot-old-wordpress-website/grootacademy.com/internship/index.php,/internship-process.php,Legacy internship source,Migrate process and evidence carefully; separate internship process from guaranteed job claims,Career Programs; student outcomes; course pages,Medium - multiple legacy internship pages,Jaipur,P2,Merge legacy internship pages into one trust/process canonical,Planned - source exists
E BRAND / TRUST,Groot Academy Placement Assistance,placement assistance Jaipur IT courses; career support Groot Academy,Trust / program information,/groot-old-wordpress-website/grootacademy.com/placements.html,/placement-assistance.php,Legacy placement page,State process and support precisely; include verifiable activities only; no placement guarantee,Courses; internship; student outcomes; contact,Low,Jaipur,P2,Migrate and differentiate from student outcomes,Planned - source exists
E BRAND / TRUST,Groot Academy Training Methodology,project based IT training Jaipur; practical coding training Jaipur,Trust / methodology,,/training-methodology.php,No dedicated canonical page,Consolidate factual methodology from existing course pages before creating a distinct page,About; mentors; projects; money pages,Low,Jaipur,P3,Hold until unique evidence-based content exists,Do not create yet
E BRAND / TRUST,Groot Academy Locations,Groot Academy branches Jaipur; Groot Academy Mansarovar; Groot Academy Pratap Nagar; Groot Academy Jagatpura,Local navigation / trust,/groot-old-wordpress-website/grootacademy.com/google-map-locations.php,/locations.php,Legacy locations source,Build one verified location directory first; list only confirmed branches and link to unique branch pages,Homepage; Contact; branch pages,Low,Jaipur branches,P2,Migrate verified locations only,Planned - source exists
E BRAND / TRUST,Contact Groot Academy,Groot Academy contact Jaipur; Groot Academy phone; Groot Academy address,Brand navigation / contact,/contact.html,/contact.html,Contact page,Audit template fields and ensure only verified contact and location details,About; locations; courses,Low,Jaipur brand,P1,Improve existing,Metadata and contact details improved 2026-09-22
